,title,author,content,price,grade,genre
720,악몽과 몽상 2,"
스티븐 킹 저/이은선 역
        ","



“훌륭한 단편소설은 삶을 구원한다.여기, 24편의 단편소설을 여러분을 위해 내놓는다.” ― 스티븐 킹 3억 5천만 부가 넘는 판매 부수를 올린 세계적인 작가 스티븐 킹의 단편집 『악몽과 몽상』이 엘릭시르에서 출간되었다. 『악몽과 몽상』은 『스티븐 킹 단편집-옥수수밭의 아이들 외』, 『스켈레톤 크루』에 이어 스티븐 킹이 칠 년간 쓴 작품 중 탁월하다고 자평하는 스물네 편의 작품이 수록된 단편집이다. 엘릭시르만의 세련된 장정과 깔끔한 편집으로 소개되는 이번 단편집에서는 평범한 남자의 지독한 복수 과정을 담은 「돌런의 캐딜락」, 의도치 않게 인류를 멸망시켜버린 비운의 천재 이야기 「난장판의 끝」, 사악한 아이들에 대한 작가 특유의 상상력이 담긴 「어린아이들을 허락하라」 등 단편소설은 물론, 텔레비전 드라마로도 방영된 극본 「죄송합니다, 맞는 번호입니다」, 야구 잡지에서 극찬을 받은 에세이 「고개를 숙여」 등 다양한 장르에서 종횡무진 활약하는 스티븐 킹을 맛볼 수 있다. 이 외에도 작가가 직접 쓴 서문과 작품 해설이 포함되어 한층 즐거운 독서를 보장한다. 『악몽과 몽상』은 출간 후 《뉴욕 타임스》 베스트셀러 1위에 오르며 스티븐 킹의 빼어난 스토리텔링 능력과 독보적인 상상력이 얼마나 뛰어난지를 입증한 수작이다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","15,120",8.5,공포/스릴러
721,그 책에 마음을 주지 마세요 3,"
문시현 저
        ","



다가오는 진실은 나를 돌처럼 짓누르는 굴착기였다.“당신을 소유하고 싶습니다.”헤르난, 그가 나를 알아보지 못한 채 낯선 사람처럼 웃었다. 차갑고 서늘한. 전혀 다른 모습으로.“사랑? 사랑 따위일 리 없지 않습니까.”그의 얼굴이 내려앉은 곳은 입술이 아닌 더 위. 부드러운 머리칼이 귀를 스치고 지나갔다.“그것이 얼마나 하찮고 순간뿐인 감정인데.”서늘하고 낯선 감각에 놀라 몸을 움찔하고 떨었다. 고개를 든 헤르난이 날 가둔 채 속삭였다.“하지만 당신을 갖고 싶은 욕심은 사랑이 아닙니까? 사랑은 욕망하는 것이니까.”그가 내 손목에 입을 맞췄다.“그러니 오히려, ‘사랑’은 이쪽이겠군요.”                    


","11,520",8.0,공포/스릴러
722,"솔미솔파, 나의 노래 1","
조효은 저
        ","



26세의 평범하다면 평범한 직장인 김솔미.대박 용하다 소문난 점쟁이가 그녀에게 가라사대,올해 진실한 사랑에 빠진다 하였으니일단 후보자들 리스트부터 정리해 봐야 할 터.후보 1. 안영호(28, 대학 병원 안과 레지던트)외모가 씹다 버린 돼지 껍데기보다도 못하단 평가가 있으나 마음만큼은 미남.후보 2. 도은기(30, 서울 지방 법원 판사)훈훈한 마스크에 자상함마저 겸비했으나, 차마 들이댈 수 없는 이유가 존재함.후보 3. 박진현(30, 사내 변호사)선 굵은 미남에 스펙도 훌륭하지만 느끼하고 예의를 밥에 말아 드셨음.후보 4. 문재욱(31, 사내 경영 지원 본부장)사내 팬클럽 ‘문화재욱관광부’가 있을 만큼 천상급 외모를 자랑하나,후보로 삼기엔 치명적인 결점이 있음.자, 이제 남은 것은 그녀의 선택뿐.과연 그녀는 올바른 남자를 골라 올바른 사랑을 창출해 낼 수 있을 것인가?                    


","9,000",7.2,추리/미스터리
723,롱 워크,"
스티븐 킹 저
        ","



""밀리언셀러 클럽 143권. 세계적인 이야기의 거장 스티븐 킹이 생애 처음으로 집필한 소설. 칠순을 바라보는 나이에도 한해 2편 이상의 신작을 꾸준히 발표하며 노익장을 과시하는 작가 스티븐 킹이 10대이던 1966년 집필하여 완성한 장편소설로서 1979년 리처드 바크만이라는 필명으로 정식 출간되었다.(스티븐 킹의 공식 데뷔작은 1974년 출간된 <캐리>이다.) 이 작품은 전체주의 국가가 된 가상의 미국을 배경으로 국가적 스포츠인 '롱 워크'에 참가한 소년들을 소재로 하고 있다. '롱 워크'는 십대 소년 100명의 지원을 받아 단 한 명이 남을 때까지 걷는 경기이다. 단, 최저 제한 속도(시속 6.5킬로미터) 밑으로 떨어지면 경고를 받고, 3번의 경고 이후는 바로 즉결 총살형에 처해진다. 대신 최후의 생존자이자 우승자는 궁극의 보상을 받게 된다. <롱 워크>는 소년들의 낙오에 아무런 감정 없이 총질을 해대는 군대와 그 모습에 열광하는 어리석은 시민들을 통해 자유 의지조차 잃어버린 독재국가의 모습을 상징적으로 보여주는 작품으로서 출간 당시 큰 화제가 되었으며, 베트남전으로 인해 자원 입대와 반전 시위가 소용돌이 치던 1966년 미국 사회를 바라보던 18세의 스티븐 킹의 생각이 녹아든 작품이다. 작품이 가진 주제의식과 흡인력으로 전미 도서관 협회(ALA)에서 선정한 청소년 권장도서 100선(1966-2000년 사이)에 뽑혔으며, 후대 <헝거 게임>, <배틀 로얄> 등 디스토피아를 다룬 청소년 소설들에 크나큰 영향을 끼쳤다. 국내에서도 해적판으로 출간된 지 20년이 넘어서야 정식 번역 출간되었다.""                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","12,420",8.7,공포/스릴러
724,최후의 만찬,"
서철원 저
        ","



제9회 혼불문학상 수상작“같은 작가로서 시샘이 날 정도이다” _한승원(소설가·심사위원장)제9회 혼불문학상 수상작 『최후의 만찬』이 출간됐다. 올해 혼불문학상 응모작은 총 263편이었고 예심을 통과한 작품은 총 6편이었다. 그중에 4편이 최종심에 올랐고 치열한 논의 끝에 신해년(1791년), 우리나라 최초의 순교자 윤지충과 권상연의 순교 장면으로 소설을 여는 『최후의 만찬』이 당선작으로 선정됐다. 심사위원장 한승원 소설가는 이 소설에 대해 “보기 드문 수작이다.” “나는 왜 이런 소설을 쓰지 못했을까, 시샘이 날 정도이다.” “다른 소설가들이 읽으면 깜짝 놀랄 작품이다.” 등의 극찬을 아끼지 않았다. 심사위원들은 “우리 문학에서 오랜만에 만나는 품격 높은 새로운 역사소설”이 탄생했다는 사실에 주목했으며 “오랜 철차탁마를 거친 깊은 내공의 소유자이며 절제된 시적 문장을 다루고 있다”고 평했다.혼불문학상은 우리시대 대표소설 『혼불』의 작가, 최명희의 문학 정신을 기리기 위해 2011년에 제정되어, 1회 『난설헌』, 2회『프린세스 바리』, 3회 『홍도』, 4회 『비밀 정원』, 5회 『나라 없는 나라』, 6회 『고요한 밤의 눈』, 7회 『칼과 혀』, 8회 『독재자 리아민의 다른 삶』등이 수상작으로 결정되었다. 혼불문학상 수상작들은 한국소설에 새로운 방향성을 제시하며 독자들로부터 꾸준한 사랑과 깊은 신뢰를 받고 있다. 제9회 혼불문학상 심사위원으로는 한승원 소설가(심사위원장), 김양호 평론가, 김영현 소설가, 이경자 소설가, 이병천 소설가가 참여했다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","13,500",7.7,판타지
725,완벽한 쇼윈도 세트,"
로즈빈 저
        ","



드라마 제작 확정! 누적 조회수 1,800만!2018 네이버웹소설 최고의 화제작 『완벽한 쇼윈도』2018년 네이버웹소설에 연재된 작품 중 가장 많은 화제를 일으킨 로즈빈 작가의 『완벽한 쇼윈도』(전 3권)가 독자들의 오랜 기다림 끝에 단행본으로 출간되었다. 2018년 7월 초부터 92화 분량으로 연재되었던 이 작품은 다른 작품에 비해 상대적으로 많은 분량이 아님에도 누적 1,800만 조회수를 기록하며 2018년 하반기 최고의 화제작으로 독자들의 열렬한 사랑을 받았다. 또한 연재가 끝나기도 전에 이미 드라마 판권 계약도 체결되어 드라마로도 제작, 방영될 예정이다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","37,800",7.0,추리/미스터리
726,정령의 펜던트 13,"
발렌 저
        ","



아버지의 강권으로 뒤늦게 캐링스턴 아카데미에 입학하게 된 바율은란데르트 공작의 아들이라는 부담감과쌍둥이 형을 잃은 상처와 죄책감 등에 짓눌려집을 떠나는 순간부터 불안해하지만,따뜻하고 개성 강한 친구들을 만나며 조금씩 마음의 문을 열게 된다.아카데미 생활에 적응해 나가던 중 몸이 약해 겪는환시로만 알고 있었던 존재가 사라진 줄 알았던 정령임을 알게 되며바율은 새로운 국면을 맞이하게 되는데...“정령사는 말이지, 되고 싶다고 해서 되는 게 아니야. 그냥 그렇게 태어나는 거지. 날 때부터 정해진 운명 같은 거라고.”                    


","7,200",6.3,역사
727,더 키퍼,"
제시카 무어 저/김효정 역
        ","







“저는 피해자가 아니에요.
그가 나를 때린 적은 단 한 번도 없는걸요.”
폭력에 길들여진 여성의 심리를 예리하게 그려낸 섬뜩한 화제작

“잘 만들어진 오싹한 이야기, 그리고 충격적인 반전”  -[가디언]
“여전히 『걸 온 더 트레인』이 당신의 인생 책이라면, 『더 키퍼』도 목록에 추가하라”  -[선데이타임스]
“지금까지 읽은 데뷔작 가운데 최고다”  -베스트셀러 저자 발 맥더미드

[가디언], [선데이타임스], [코스모폴리탄]이 2020년 화제의 데뷔작으로 선정하고, 베스트셀러 저자 발 맥더미드가 “지금까지 읽은 데뷔작 가운데 최고다”라는 찬사를 보낸 『더 키퍼』가 한국어판으로 출간되었다. 섬세한 여성 서사 소설로 주목받은 저자 플린 베리가 “마지막 장을 덮을 땐 내 손으로 입을 틀어막을 수밖에 없었다”라고 평가했으며, 수많은 독자가 “상업성과 작품성을 함께 갖춘 페미니즘 스릴러”라며 극찬했다.

 『더 키퍼』의 이야기는 영국 어느 작은 마을에서 발견된 한 여자의 시신에서 시작된다. 폭력 피해 여성들이 머무는 보호소에서 상담사로 일하던 평범한 여자 케이티. 차가운 강물에 뛰어든 그녀의 죽음을 슬퍼하는 사람은 남자친구와 상담소 여자들뿐이다. 형사들은 자살을 염두에 두고 그녀의 과거를 추적해가는데, 뜻밖의 사실이 발견된다. 선거인 명부, 건강보험 기록, SNS 그 어디에서도 그녀의 흔적을 발견할 수 없었던 것. 그리고 학대받은 상담소의 여자들처럼 그녀 역시 과거에 남자친구로부터 학대받았다는 사실이 뒤늦게 밝혀지는 가운데, 자살로 종결될 뻔한 사건에 유일한 목격자가 발견되는데…….

 신인답지 않은 놀라운 통찰력과 탁월한 스토리텔링을 보여준 저자는 이 책을 통해 폭력에 길들여진 여성의 심리를 예리하게 짚어냈다. 데이트 폭력은 애정의 또 다른 방식이고, 가스라이팅은 관심이나 조언이며, 가정 폭력은 가르침이라고 세뇌된 여자들, 물리적 폭력이 가해지지 않으면 스스로를 ‘피해자’가 아니라고 합리화한 여자들. 『더 키퍼』는 오직 여성들만 느낄 수 있는 공포, 그리고 사랑이란 허울을 쓰고 한 여자의 인생을 파괴하는 남자의 욕망에 대한 이야기다.

                                    








 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","13,500",8.0,판타지
728,대통령이 사라졌다 1,"
빌 클린턴, 제임스 패터슨 저/최필원 역
        ","



뉴욕 타임스, 아마존, USA 투데이,월스트리트 저널, 인디 베스트셀러 1위전 세계 36개국 판권 계약미국 SHOWTIME에서 드라마 판권 계약북미 단일 하드커버 판매량 100만 부미국 42대 대통령 빌 클린턴세계적인 베스트셀러 소설가 제임스 패터슨각 분야의 정점이 만든 세기의 컬래버레이션!위기에 빠진 대통령이 백악관에서 사라지다! 『대통령이 사라졌다』는 미국 42대 대통령 빌 클린턴과 세계적인 베스트셀러 소설가 제임스 패터슨의 합작 소설이다. 클린턴의 내밀한 경험과 패터슨의 천재적인 스토리텔링 능력이 합쳐진 덕에 세기의 스릴러 소설이 탄생했다. 『대통령이 사라졌다』는 출간 이후 순식간에 뉴욕 타임스, 아마존, USA 투데이, 월스트리트 저널, 인디에서 베스트셀러 1위를 달성했으며, 북미 단일로 100만 부 이상 팔린 초대형 스릴러 소설이다. 청문회에 출석한 대통령은 직권 남용과 반역 혐의를 쓰고 탄핵 위기에 몰린다. 그러나 대통령은 부통령을 비롯한 주변 사람에게 쉽게 도움을 청할 수도 없다. 내각에는 사이버 테러와 배신자 그리고 간첩 행위에 관한 밀담이 가득하다. 불확실성이 지배하는 정국. 이러한 혼란한 상황 속에서 대통령은 대중 앞에서 사라지고 만다. 그리고 온갖 억측이 난무하기 시작한다. 그럴듯한 추측, 믿기 어려운 추측, 그리고 완전히 터무니없는 추측까지. 숨 막히는 스릴감과 손톱을 물어뜯게 만드는 긴장감으로 가득한 이 소설의 가치는 단순히 재미로 끝나지 않는다. 전직 대통령의 내밀한 경험은 충분히 일어날 수 있는 국가적 위기 사태 시나리오로 탄생했다. 만약 당신이 대통령이라면? 불확실성이 가득한 상황에서 거대한 위협이 성큼 다가온다면? 특히 한국처럼 인터넷이 널리 보급되고 디지털화가 잘된 나라 이 소설의 시나리오는 꼭 고려해야할 수밖에 없을 것이다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","12,420",7.4,판타지
729,네버무어 1,"
제시카 타운센드 저/박혜원 역
        ","







누구나 빠져들 수밖에 없는 이야기

타고난 저주, 미지의 도시, 특별하고 신비로운 단체, 남다른 재능, 예기치 못한 전개와 궁금한 결말. 『네버무어』에는 흥미를 놓을 수 없게 하는 요소가 가득하다. 세계 언론은 수많은 리뷰를 쏟아 내며 새로운 이야기에 찬사를 아끼지 않았고, 헤아릴 수 없이 많은 독자들이 이 책을 선택했다. 뉴욕타임스의 베스트셀러로 선정되었으며, 시카고 트리뷴, 타임지, 아마존, 북셀러를 비롯한 다수의 매체에서 『네버무어』를 올해의 책으로 손꼽았다. 호주에서는 ‘2018 인디북 어워드’를 수상했으며, 호주에서 가장 큰 규모의 출판상인 ‘2018 호주 출판 산업상’에서 최우수 도서 등 주요한 부문의 상을 모두 차지했다. 

『네버무어』의 세계는 매우 독창적이다. 또한 놀랍도록 치밀한 설정으로 마치 어딘가에 ‘네버무어’라는 도시가 존재할 것이라고 상상하는 일을 어렵지 않게 한다. 단단하게 빚어진 세계 속에서 이야기는 가속페달을 밟은 듯 질주한다. 연이어 진행되는 사건은 계속해서 다음을 기대하게 한다. 주인공의 비극적인 운명은 긴장의 끈을 놓을 수 없게 하지만, 세련되고 적절한 유머가 그 무게를 덜어 간다. 놀라운 세계를 만나는 두근거림과 예기치 못한 사건을 마주했을 때의 긴장감은 모리건만의 것이 아니다. 미풍이 불듯이 가볍고 경쾌하게 스며드는 비유는 이야기를 따라가는 즐거움에 문장을 읽는 재미를 더해 준다. 타운센드는 익숙한 상황마저도 자기만의 언어로 신선하게 재단하는 능력이 탁월하다.

『네버무어』에는 많은 장점이 있지만, 그 가운데서도 가장 돋보이는 것은 이야기를 관통하는 정의와 신념, 그리고 따뜻한 유대감이다. 저주를 받고 태어난 모리건은 죽음을 속이고 마법의 세계로 넘어가지만 계속해서 상상을 초월하는 시험과 마주해야 한다. 고난을 극복하면서 모리건이 얻고자 하는 건 평범하다고 말할 수 있는 것들이다. 가족이 생기는 것, 친구를 만드는 것, 평생 어딘가에 소속되는 것. 이 평범한 것들을 얻기 위해 모리건이 어떤 선택을 하는지 응원하며 지켜보는 재미가 크다. 불행을 딛고 일어선 주인공이 어떤 사람으로 성장하는지 지켜보는 것이야말로 이 소설의 가장 큰 즐거움이다.

                                    








 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","10,800",10.0,판타지
730,뜻밖의 스파이 폴리팩스 부인,"
도로시 길먼 저/송섬별 역
        ","







[백 세 노인], [오베] 이전에 할머니 스파이가 있었다!
전 세계를 사로잡은 최고&최고령 CIA 요원, 드디어 한국 침투!

굿리즈닷컴 선정 20세기 최고의 미스터리 시리즈
20개국 출간, 200만 부 판매, 두 번의 영화화
에드거 상 그랜드마스터에 빛나는 도로시 길먼의 대표작

웃음을 원하건, 스릴을 원하건, 폴리팩스 부인이 정답이다! 
[뉴욕타임스]

자식들은 다 키워서 떠나보내고, 남편과도 8년 전에 사별한 60대의 미망인 폴리팩스 부인. 경미한 우울증에 시달리는 그녀에게 의사는 오래전부터 꼭 해보고 싶었던 일은 없었냐고 묻고, 폴리팩스 부인은 수줍게 털어놓는다. “어렸을 때는 스파이가 되는 게 꿈이었지.” 의사가 배꼽 잡고 웃은 것은 물론이다. 

비웃음에 지지 않고 어릴 적 꿈을 이루기 위해 CIA로 난입한 폴리팩스 부인. 운 좋게도 담당자의 착오로 그 자리에서 스파이로 발탁된 그녀는 관광객으로 위장하고 멕시코로 향하는데……. 그곳에서 부인을 기다리고 있는 건 노년의 우아한 여행이 아니라 무시무시한 중공군과 급박하게 돌아가는 국제 정세, 그리고 엉뚱 발랄하고도 스펙터클한 탈출기다! 

                                    








 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","12,420",8.9,판타지
731,타라 덩컨 3 (하),"
소피 오두인 마미코니안 저
        ","



유럽 대륙을 마법 열풍으로 흥분시킨 『타라 덩컨』은 프랑스에서 10주간 베스트셀러 1위를 기록하면서 짧은 시간에 기록적인 판매부수를 보이며 선풍을 일으켰고, 독일, 이탈리아, 스페인, 일본 등 여러 나라의 언어로 출간되었다. 작가는 셰익스피어의 『한여름 밤의 꿈』을 읽다가 영감을 얻어 마법 세계를 구상하게 되었다고 한다. 소피 오두인 마미코니안은 한 페이지를 40번이나 수정할 만큼 공들여 손질했고, 영화감독인 삼촌 프랑시스 베베르와 함께 완벽을 추구하려고 노력한 결과, 하루가 스물여섯 시간이고 일 년이 454일에 일곱 계절이 존재하는 아더월드라는 마법의 행성과, 작가의 두 딸(15세 디안과 12세 마린)의 성격을 합해서 만들어낸 타라 덩컨이라는 캐릭터를 창조해 냈다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","8,100",7.5,SF
732,ABC 살인사건,"
애거사 크리스티 저
        ","

 




명탐정 에르큘 포와로에게 날아온 범죄의 도전장 - 뒤이어 A로 시작되는 도시에서 A로 시작되는 이름을 가진 사람이 살해당한다. 계속해서 알파벳순으로 차례로 살인이 벌어진다. 게다가 살인범은 범행 날짜가지 예고한다.                    


","5,400",10.0,추리/미스터리
733,왕세자의 살인법 1 ,"
서아람 저
        ","



남몰래 살인을 즐기는 사이코패스 왕세자와  사물에 깃든 기억을 읽는 궁녀  생존을 걸고 싸우는 숨 막히는 대결이 시작된다!***  카카오페이지 180만 뷰 *** *** 출간 전 영상화 확정 ******  tvN ‘유 퀴즈’ 검사 서아람 장편소설 *** 카카오페이지 180만 뷰, 연재 즉시 문학 1위! 회를 거듭할수록 독자들의 찬탄과 열렬한 지지를 받고 있는 『왕세자의 살인법』(전 2권)이 드디어 출간되었다. 『왕세자의 살인법』은 『암흑검사』(전 2권)로 CJ ENM과 카카오페이지가 주최한 ‘제2회 추미스 소설 공모전’에서 우수상을 수상하며 영상 판권까지 단번에 계약된 무시무시한 필력의 작가 서아람(초연)의 본격 궁중 스릴러다. 일찌감치 드라마 판권까지 계약 완료된 『왕세자의 살인법』은 조선시대를 배경으로 사이코패스 왕세자와 사이코메트리 능력을 가진 궁녀의 쫓고 쫓기는 심리싸움을 그리고 있다. 완벽함 뒤에서 살인을 일삼는 왕세자 범을 일개 궁녀가 초능력으로 잡을 수 있을지, 화려하면서도 고즈넉한 궁을 배경으로 속도감 있는 전개와 흡인력 있는 문체를 따라가다 보면 천 페이지 가까이 되는 소설이지만 순식간에 읽게 되는 놀라운 경험을 하게 될 것이다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","14,220",10.0,추리/미스터리
734,그녀를 만나다,"
정보라 저
        ","



2021년 『저주토끼』 영국판 출간과 함께 독일, 노르웨이, 터키, 아르헨티나 등 전 세계적 관심과 주목을 받기 시작한 정보라 작가 4년 만의 소설집!투쟁하는 소설가 정보라 작가가 그려내는 생존과 상실에 관한 이야기들.“하나만 있으면 새로 시작할 수 있다. 그 하나를 위해서, 우리는 기다린다.” “깨어나봤더니 병원이었고 내 지팡이는 두 개 다 없었다.”차별금지법이 제정되고 모든 차별이 금지되었으며 많은 소수자들의 삶이 조금 나아진 가까운 미래 어느 날, 산전수전 다 겪은 120세 주인공 여성이 ‘그녀’의 팬클럽 미팅에 갔다가 혐오세력이 일으킨 폭탄 테러에 휩쓸려 큰 부상을 당하고 병원에 입원하게 된다. 지팡이를 잃어버리고 말귀 못 알아듣는 간병로봇 때문에 힘들어 하면서도, 주인공은 영상에 달린 4억 개의 댓글 중에 테러범의 단서를 찾아내 결국 테러범의 정체를 밝혀낸다. 그리고 긴 기다림 끝에 3년 만에 다시 열린 ‘그녀’의 팬클럽 미팅 현장, 주인공이 만나게 된 ‘그녀’는 보안정책을 위해 딥페이크 기술을 적용해 만들어낸 가상의 모습. 개개인이 상상하는 대로 ‘그녀’의 모습을 보게 된 참가자들은 저마다의 ‘그녀’를 만나고, 그때 행사장 한쪽 구석에서 누군가 비명을 지르는데….정보라 소설집 『그녀를 만나다』는 차별금지법 제정을 위해 두 번이나 오체투지를 하기도 했던 정보라 작가가 차별금지법 제정을 기원하며 쓴 표제작 단편 「그녀를 만나다」를 비롯, SF 어워드 수상작 「씨앗」, 충격적인 반전의 좀비 재난물 「여행의 끝」 등 작가의 SF 세계를 잘 보여줄 여덟 편의 작품을 골라 엮은 중단편집이다. 특히, 2021년 여름 영국에서 출간된 작가의 직전 소설집 『저주토끼』의 영문판 출간 이후, 독일과 노르웨이, 터키, 아르헨티나, 중국 등 전 세계적으로 정보라 작가에 대한 관심이 높아진 가운데, 작가가 4년 만에 발표한 네 번째 소설집 『그녀를 만나다』 역시 출간 이전부터 주목을 받고 있다. 이제 우리가 ‘그녀’를 만날 시간, 『그녀를 만나다』.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","13,320",8.5,추리/미스터리
735,사라진 소녀들 ,"
팜 제노프 저/정윤희 역
        ","



목숨을 걸고 전쟁터에 뛰어든 이름 없는 영웅들의 숨겨진 미스터리1946년, 뉴욕. 출근길에 오른 그레이스는 자동차 사고로 앞뒤가 꽉 막힌 도로를 피해 그랜드센트럴역으로 향한다. 그리고 기차역 벤치 아래에서 ‘엘레노어 트리그’라는 이름이 적힌 갈색 여행 가방을 발견한다. 그레이스는 호기심을 참지 못하고 가방을 열었다가 레이스로 가지런히 묶어 놓은 사진 한 묶음을 찾아낸다. 10여 장에 가까운 사진은 전부 젊은 여자들의 독사진으로 스물다섯 살이 채 넘지 않은 앳된 모습이다. 바로 그때 기차역 바깥에서 요란한 사이렌 소리가 울리기 시작하고, 그레이스는 충동적으로 사진을 챙겨 역을 빠져나온다.얼마 후 그레이스는 사진을 돌려놓기 위해 다시 역을 찾지만 이미 가방은 사라진 후다. 그리고 제2차 세계대전 중 창설된 영국 특수작전국 소속 엘레노어 트리그의 가방이라는 사실을 알게 된다. 사진 속 열두 명의 젊은 여성은 엘레노어가 직접 뽑고 훈련한 비밀요원이며 프랑스 파리에서 무선통신원으로 활동했는데, 그 중 한 명이 홀로 어린 딸을 키우는 마리였다. 프랑스어를 잘한다는 이유로 발탁되어 혹독한 훈련을 마치고 이미 독일군이 점령한 파리에 침투하는데…….                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","14,220",6.8,추리/미스터리
736,막상막하 - 시크한 늑대와 도도한 여우 세트,"
파란딱지 저
        ","



“이 개자식아! 인생 그렇게 살지 마세요.”― 어긋난 첫 만남“딱 두 배로 받아줄게요.”― 우연한 두 번째 만남“우리 어제 무슨 일 있었어요?”― 세 번째 만남은 침대 위(?)만날 때마다 기록 경신!세상 무서울 게 없는 유아독존 제빵사 서예나와 냉소적인 재벌가 후계자 강민혁의 막상막하 대결.“있잖아. 지금 내 심장이 이렇게 뛰는 게 정상이야?”예나가 민혁의 손을 잡고는 자신의 심장으로 가져다 댄다.쿵쾅쿵쾅, 마치 자신과 박자를 같이하듯 불규칙적으로 뛰는 심장.생각지 못한 예나의 행동에 민혁의 눈동자가 흔들렸다.“나 진짜 당신한테 반했나 봐.”작은 목소리가 민혁의 심장으로 스며들었다.                    


","32,400",7.6,추리/미스터리
737,붉은 마스크,"
설재인 저
        ","



“그때는 몰랐다. 그 시험이 절대로 끝나지 않을 줄은.” 떠오르는 MZ 세대의 기수 설재인 작가의, 폭풍 같은 하이퍼리얼리즘 재난 소설  떠오르는 MZ 세대의 기수, 설재인 작가의 두 번째 장편소설. 『붉은 마스크』는 외고에서 수학 교사로 근무하다 사표를 낸 후 3년간 두 권의 소설집과 장편, 에세이집까지 출간하며 폭풍처럼 작품을 쏟아내고 있는 작가의 두 번째 장편소설이다. 온 국민이 숨을 죽여야만 하는 수능일에 한반도를 강타한 원인 모를 전염병, 이제 세상은 붉은 마스크를 쓴 사람과 그렇지 않은 사람으로 나뉘어 멸망을 향해 끝나지 않을 전쟁을 치르게 되는데... 작가는 장르적 문법에 따르는 대신 소설보다 더 소설 같은 현실에 주목해 코로나가 강타한 교육 현장과 소수자에 대한 차별이 만연한 한국 사회의 민낯을 아프게 후벼 파고, 악착같이 드러낸다.                     




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","13,320",6.8,추리/미스터리
738,연쇄살인마 잭 더 리퍼 연대기 1+2,"
에드먼드 레스터 피어슨, 토머스 버크 저/정진영 역
        ","



1888년 런던 이스트엔드의 화이트채플에서 세상을 떠들썩하게 만든 연쇄살인이 벌어졌다. 이후 연쇄살인범의 시조로 일컬어지며 130년이 지난 현재까지 잡히지 않은 장기 미제 아니 영구 미제 사건의 범죄자, 잭 더 리퍼(Jack the Ripper)... 지금까지 수많은 모방 범죄와 용의자들을 양산해왔고, 그에 따라서 혼란과 논란도 증폭됐다. 이 희대의 살인마는 빈민가의 매춘 여성이라는 사회적 약자들을 범행 대상으로 삼은 비열함 뿐 아니라 희생자의 시신을 훼손하고 장기를 적출하는 등의 엽기적이고 잔혹한 범행수법을 보였다. 더구나 신출귀몰한 행적으로 말미암아 당대 공권력은 조롱거리가 되었고 여론몰이식 무차별적 용의자 검거는 또 다른 사회 문제를 야기했다. 이 책은 잭 더 리퍼로 대변되는, 이 사회의 깊고 어두운 그림자 속에 기생하는 살인자들에 관한 것이다.                    


","17,900",7.7,판타지
